Equal probabilities,7.286
epPCR (Mutazyme II),5.857
"epPCR (Taq, Mn2+)",4.667
MutaT7,1.381
PACE,7.143
OrthoRep,2.762
TRIDENT,2.095
YeastIT1,2.714
YeastIT2,3.81
